Link,Year,Month,Heading,Response date,Requested by,Question,Correct Answer,,Chatbot answer (500 noise files),all-mpnet-base-v2 (500 files),"""BAAI/bge-base-en-v1.5"" (500)"
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-16040-response-letter.pdf,2024,August,NZTA parental leave policies and entitlements,Responded: 13 August 2024,Requested by: Member of the public,How many parental leave weeks are employees entitled too?,26 weeks,,did not find,correct,correct
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-15868-response-letter.pdf,2024,August,Inclusion of cycleways in RoNS,Responded: 6 August 2024,Requested by: Radio NZ,Which of the Roads of National Significance includes a cycleway component?,The Otaki to North of Levin (O2NL) project is the only Road of National Significance (RoNS) that currently includes a cycleway component,,correct,correct,correct
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-15866-response-letter.pdf,2024,August,Funding of LED lighting upgrades within Selwyn District and Christchurch City areas,Responded: 5 August 2024,Requested by: Member of the public,How much was LSTA's funding of street amp upgrades to LED lighting within the Selwyn District Council and Christchurch City Council areas?,"$2,458,868 to the Selwyn District Council between the 2017-18 and 2023-24 financial years; and  $18,247,586 to the Christchurch City Council between the 2017-18 and 2021-22 financial years.",,correct,did not find,did not find
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/OIA-15786-response-letter.pdf,2024,July ,Wire barrier concerns,Responded: 22 July 2024,Requested by: Member of the public,"Is there a relationship between the nzta and or personnel involved in O2nl, with the wire barrier erecting company?",There is no relationship between NZ Transport Agency Waka Kotahi (NZTA) and the contractor installing safety barriers.,,correct,correct,correct
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-15726-response-letter.pdf,2024,July ,"Clifden Cottage/Riverslea, Ōtaki",Responded: 16 July 2024,Requested by: Member of the public,Why is nzta doing landscaping on the old Heritage classified house known as Clifden Cottage,"Conservation Efforts: As part of the conditions attached to the expressway designation, NZTA is required to repair and conserve the heritage features of the cottage. Landscaping would be an essential part of these conservation efforts to ensure that the cottage’s surroundings reflect its historical significance and maintain its aesthetic and cultural value.

Subsequent Land Use: The response indicates that once the restoration is complete, the land around the cottage will be subdivided and possibly reviewed for further requirements by NZTA. Proper landscaping is likely part of preparing the property for this subdivision and potential future use. It helps in defining the boundaries of the subdivided land and in making the property appealing for whatever purpose it will serve next.

Environmental and Visual Integration: Although the house has been moved 20 meters east from its original location, efforts are being made to maintain its orientation and outlook over the Ōtaki River. Landscaping would help in integrating the cottage into its new position, ensuring that the relocated structure harmonizes with its surroundings and retains its historical and visual significance.",,correct,correct,correct
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-15454-response-letter.pdf,2024,July ,Iwi engagement,Responded: 11 July 2024,Requested by: Centrist,Can you tell me which  iwi has the department of NZTA established a formal relationship with?,,,correct,correct,wrong
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-15602-response-letter.pdf,2024,July ,SH58 Haywards Hill,Responded: 5 July 2024,Requested by: Member of the public,"How long have roadworks (excluding SH 1 & 2 interchanges) been ongoing, and what are the estimated costs for these works, including those requiring road cones?","SH2 to Mount Cecil Road (completed in November 2021) cost $65M.
Mount Cecil Road to Harris Road (completed in July 2023) cost $24.4M.
Harris Road to Transmission Gully (started in 2023, scheduled for completion by 2026) has an estimated cost of $92M.",,did not find,correct,correct
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-15503-response-letter.pdf,2024,June,Styene Avenue traffic light instillation costs and associated crash data,Responded: 26 June 2024,Requested by: Member of the public,,"how much did it cost to install the new set of traffic lights at the railway crossing going out of Plimmerton, Porirua?","$72,304.30",correct,correct,correct
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-15628-response-letter.pdf,2024,June,Footpath renewal policies and Southland District Council’s indicative allocation,Responded: 26 June 2024,Requested by: Member of the public,,What conditions must a footpath meet to qualify for renewal funding under NZTA's policy?,"To qualify, the footpath must require resurfacing or reconstruction as a long-term, cost-effective solution. The renewal should maintain the existing standard unless modern guidelines require an upgrade. Minor repairs or improvements do not qualify for renewal funding.",correct,correct,corect
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-15406-response-letter.pdf,2024,June,Benefit Cost Ratios,Responded: 13 June 2024,Requested by: Stuff,,What are nzta lower average and upper beneffit cost ratios on roading projects?,"0, 1.2 and 14",correct,correct,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-15483-response-letter.pdf,2024,June,Driver licence use and privacy principles,Responded: 11 June 2024,Requested by: Member of the public,,Is the use of a driver's licence number is covered by the Privacy Principles?,yes,correct,correct,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-15366-response-letter.pdf,2024,June,Transmission Gully,Responded: 11 June 2024,Requested by: Member of the public,,"Has NZTA releaased any records from  2024 about WK has engagement in any way with the Infra Commission over, with respect to the project’s completion and how that might transpire?",No,did not find,did not find,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-15239-response-letter.pdf,2024,May,Information on the use of the SIMARD MD cognitive test in New Zealand,Responded: 27 May 2024,Requested by: Member of the public,,Does NZTA recommend the use of the SIMARD MD test?,"No, it leaves it up to medical professionals to decide",correct,correct,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-15198-response-letter.pdf,2024,May,Funding policy for projects that were stopped in response to the Government’s direction,Responded: 20 May 2024,Requested by: Member of the public,,Did NZTA contribute funding to Auckland Light Rail despite the Government’s cancellation of central government involvement in the project? ,NZTA did not contribute any funding to Auckland Light Rail project following the Government’s decision to cancel it.,correct,correct,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-15195-response-letter.pdf,2024,May,Speed limit through Waitara township,Responded: 15 May 2024,Requested by: Member of the public,,Why was the e Waitara town speed limit was lowered to 30kph,"The speed limit in Waitara was temporarily reduced to 30 km/h during the SH3 detour due to safety concerns from increased traffic. NZTA, in coordination with local authorities, identified risks to pedestrians and motorists, particularly near intersections, crossing points, schools, and areas with angle parking. The reduction aimed to ensure safety and was supported by various local organizations and the New Zealand Police. Further information about the project can be found on the NZTA website.",correct,correct,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-15157-response-letter.pdf,2024,May,Let's Get Wellington Moving (LGWM) redundancies and retainment,Responded: 15 May 2024,Requested by: Member of the public,,is the  (LGWM) program ongoing if so for how long?,no it ended as of march 31st 2024,wrong,incorrect,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/OIA-15146-response-letter.pdf,2024,May,Publication of speed limit information,Responded: 14 May 2024,Requested by: Member of the public,,Where can I find details of road speed limit changes being gazzetted,the correct answer is a link to the website with the info,correct,correct,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/OIA-15150-response-letter.pdf,2024,May,Geological considerations of long tunnel proposal (SH1 Wellington,Responded: 13 May 2024,Requested by: TVNZ,,how is the proposal for the Long Tunnel option for SH1 in Wellington going?,it was discounted,did not find,outdated info,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-15092-response-letter.pdf,2024,April,Cycling on State Highway 3,Responded: 30 April 2024,Requested by: Member of the public,,How much has Waka Kotahi/NZTA spent on repairing the barriers on SH 3 between Te Awamutu and Hamilton Airport from their installation in 2016 until April 2024,"NZ Transport Agency Waka Kotahi (NZT A) has funded $153,000 in repairs to barriers in the section specified, between 2016 and April 2024.",did not find,did not find,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-14963-response-letter.pdf,2024,April,Cost of building bridges,Responded: 17 April 2024,Requested by: Member of the public,,Does NZTA has info on bridges costs?,No it does not (noise file does have),correct,correct,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2023/OIA-14910-response-letter.pdf,2024,April,Estimated cost of the Tinwald Corridor Improvements project,Responded: 12 April 2024,Requested by: Member of the public,,how much did the State Highway 1 Tinwald  Corridor Improvements project cost?,will cost aproximately 10 million,did not find,wrong,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/OIA-14939-response-letter.pdf,2024,April,Abuse of road crews,Responded: 10 April 2024,Requested by: Wairarapa Times-Age,,Is there any data for how many times road crews may have been verbally abused by drivers while working in Wairarapa? Maybe in the past 12 months.,there are two instances recorded on 2024 and one on 2023,correct,correct,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-14756-response-letter.pdf,2024,March,Information about the Rangitikei Line Rail Overbridge SH3,Responded: 22 March 2024,Requested by: Member of the public,,when whas Rangitikei Line Rail Overbridge on SH3 constructed?,1960,correct,did not find,
